company_name,gmaps_rating,gmaps_reviews,gmaps_status,gmaps_category
ნდს 2008,5.0,0,open,
კოლეგიუმი,5.0,0,found,სამშენებლო კომპანია
მოსაშვილი,5.0,0,found,
სამგორი M,5.0,0,open,
ბერდი,5.0,0,found,სამშენებლო კომპანია
ვაგი,5.0,0,open,building materials
გეო ბილდ გრუპ,5.0,0,open,სამშენებლო კომპანია
შპს ჯეოდიზაინ&ქონსთრაქშენ,5.0,0,found,სამშენებლო კომპანია
აიბილდი,5.0,0,found,სამშენებლო კომპანია
ეპიკ დეველოპმენტი,3.9,11,found,
დიდოსტატი,,0,not_found,
ოლიმპ ჯორჯია,5.0,0,found,სამშენებლო კომპანია
ჰილს დეველოპმენტი,4.8,0,open,უძრავი ქონების დეველოპერი
ბი ემ ეს გრუპი,5.0,0,open,უძრავი ქონების დეველოპერი
თემა,5.0,0,found,სამშენებლო კომპანია
სამშენებლო-კომპანია მაქსიმო,5.0,0,found,სამშენებლო კომპანია
პრივატ ჰაუსი,5.0,0,open,უძრავი ქონების დეველოპერი
სვეტი დეველოპმენტი,5.0,0,found,სამშენებლო კომპანია
ვილასეტი,5.0,0,open,სამშენებლო კომპანია
ელიტ კონსტრაქშენი,5.0,0,open,უძრავი ქონების დეველოპერი
სტელა ჰაუზი,5.0,1,found,
ნიუ პალასი,5.0,0,found,სამშენებლო კომპანია
მონუმენტმშენი,5.0,0,open,სამშენებლო კომპანია
ფაინ თრი კონსტრაქშენი,5.0,0,found,სამშენებლო კომპანია
შპს უშანგიო,5.0,0,found,სამშენებლო კომპანია
ჯი ემ ჯი ფაუერი,5.0,0,open,
ასტრა პარკი,4.1,62,found,
რედეო,5.0,0,found,სამშენებლო კომპანია
მმბ,5.0,0,found,სამშენებლო კომპანია
ჯითიდიეფ სოლუშენსი,5.0,0,found,სამშენებლო კომპანია
სოდამი,5.0,0,found,სამშენებლო კომპანია
ე-კონი,5.0,0,open,სამშენებლო კომპანია
სანი,5.0,0,found,სამშენებლო კომპანია
კანალესა,5.0,0,found,სამშენებლო კომპანია
რიფეარ ჯიჯი,4.9,0,found,
სამშენებლო კომპანია ბარსი,5.0,0,found,სამშენებლო კომპანია
რესტარტ დიღომი,4.8,0,open,სამშენებლო კომპანია
ელ ჯორჯია,5.0,0,open,სამშენებლო კომპანია
ბაბუსი,5.0,0,found,სამშენებლო კომპანია
გლობალ ჯორჯია,4.4,0,open,
ძველი თბილისი 2011,5.0,0,found,სამშენებლო კომპანია
მოყვასი 2012,5.0,0,found,სამშენებლო კომპანია
მონოლით გრუპ,5.0,0,found,სამშენებლო კომპანია
ალტერნატივა გრუპი,5.0,0,found,სამშენებლო კომპანია
ლკონსი,5.0,0,open,სამშენებლო კომპანია
